Column1,Column2
104.27.192.215,144
104.27.193.195,144
104.27.194.73,144
104.27.195.115,144
104.27.195.160,144
104.27.195.54,144
104.27.195.84,144
104.27.195.134,144
104.27.195.172,144
104.27.195.194,144
104.27.195.211,144
104.27.195.255,144
104.27.196.160,144
104.27.197.184,144
104.27.196.234,144
104.27.198.124,144
104.27.198.212,144
104.27.199.3,144
104.27.198.240,144
104.27.198.121,144
104.27.199.36,144
104.27.198.54,144
104.27.198.95,144
104.27.197.224,144
104.27.198.200,144
104.27.199.49,144
104.27.198.114,144
104.27.196.184,144
104.27.198.226,144
104.27.198.130,144
104.27.199.86,144
104.27.199.104,144
104.27.199.166,144
104.27.202.2,144
104.27.202.113,144
104.27.202.207,144
104.27.201.15,144
104.27.202.107,144
104.27.202.159,144
104.27.201.168,144
104.27.200.166,144
104.27.200.118,144
104.27.202.55,144
104.27.202.10,144
104.27.201.79,144
104.27.203.192,144
104.27.203.197,144
104.27.204.86,144
104.27.204.51,144
104.27.204.117,144
104.27.204.246,144
104.27.206.22,144
104.27.205.25,144
104.27.205.70,144
104.27.205.251,144
104.27.205.103,144
104.27.205.102,144
104.27.206.181,144
104.27.206.235,144
104.27.207.24,144
104.27.207.46,144
104.27.207.10,144
104.27.207.189,144
104.27.207.96,144
104.27.207.222,144
104.27.207.75,144
172.67.48.104,144
172.67.48.148,144
172.67.48.160,144
172.67.51.130,144
172.67.55.51,144
172.67.56.88,144
172.67.56.194,144
172.67.58.222,144
172.67.60.183,144
172.67.50.27,144
172.67.63.51,144
172.67.63.162,144
172.67.50.228,144
172.67.52.130,144
172.67.52.214,144
172.67.53.40,144
172.67.56.52,144
172.67.56.182,144
172.67.57.5,144
172.67.60.84,144
172.67.48.187,144
172.67.62.157,144
172.67.63.36,144
172.67.53.51,144
172.67.48.209,144
172.67.48.230,144
172.67.55.33,144
172.67.55.175,144
172.67.57.246,144
172.67.58.223,144
172.67.49.92,144
172.67.60.51,144
172.67.62.88,144
172.67.50.172,144
172.67.51.16,144
104.22.64.45,145
104.22.64.56,145
104.22.64.88,145
104.22.64.87,145
104.22.64.126,145
104.22.64.47,145
104.22.64.73,145
104.22.64.207,145
104.22.64.230,145
104.22.64.21,145
104.22.64.176,145
104.22.65.195,145
104.22.65.25,145
104.22.65.235,145
104.22.65.105,145
104.22.65.115,145
104.22.65.117,145
104.22.65.120,145
104.22.65.17,145
104.22.64.163,145
104.22.65.255,145
104.22.65.156,145
104.22.65.180,145
104.22.65.4,145
104.22.65.50,145
104.22.65.20,145
104.22.66.224,145
104.22.66.241,145
104.22.67.12,145
104.22.66.105,145
104.22.66.211,145
104.22.67.28,145
104.22.66.231,145
104.22.66.200,145
104.22.67.22,145
104.22.67.132,145
104.22.67.208,145
104.22.67.148,145
104.22.67.244,145
104.22.68.55,145
104.22.67.220,145
104.22.67.196,145
104.22.68.101,145
104.22.67.243,145
104.22.68.154,145
104.22.68.151,145
104.22.67.221,145
104.22.67.180,145
104.22.68.167,145
104.22.68.53,145
104.22.68.203,145
104.22.69.39,145
104.22.69.40,145
104.22.67.86,145
104.22.68.138,145
104.22.68.238,145
104.22.68.94,145
104.22.68.255,145
104.22.67.164,145
104.22.69.3,145
104.22.69.51,145
104.22.68.66,145
104.22.69.22,145
104.22.68.117,145
104.22.69.112,145
104.22.69.127,145
104.22.69.145,145
104.22.69.147,145
104.22.69.235,145
104.22.70.47,145
104.22.70.70,145
104.22.70.68,145
104.22.70.167,145
104.22.69.179,145
104.22.70.220,145
104.22.70.215,145
104.22.70.96,145
104.22.70.114,145
104.22.70.254,145
104.22.70.147,145
104.22.69.250,145
104.22.70.78,145
104.22.70.204,145
104.22.71.142,145
104.22.70.250,145
104.22.71.174,145
104.22.72.2,145
104.22.71.74,145
104.22.71.144,145
104.22.72.148,145
104.22.71.161,145
104.22.70.173,145
104.22.71.244,145
104.22.72.188,145
104.22.71.121,145
104.22.71.130,145
104.22.71.10,145
104.22.71.171,145
104.22.71.39,145
104.22.72.197,145
104.22.72.208,145
104.22.71.153,145
104.22.71.168,145
104.22.69.229,145
104.22.72.203,145
104.22.71.201,145
104.22.72.169,145
104.22.72.142,145
104.22.71.181,145
104.22.71.241,145
104.22.72.201,145
104.22.72.225,145
104.22.72.230,145
104.22.73.1,145
104.22.73.67,145
104.22.73.110,145
104.22.73.125,145
104.22.73.135,145
104.22.73.248,145
104.22.74.103,145
104.22.74.121,145
104.22.74.135,145
104.22.74.247,145
104.22.75.28,145
104.22.74.146,145
104.22.75.122,145
104.22.75.185,145
